Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10pF","C_0603_1608Metric",152.4580,-124.4600,90.0000,bottom
"C2","100nF","C_0603_1608Metric",146.1380,-111.2520,0.0000,bottom
"C4","470nF","C_0603_1608Metric",145.0580,-119.7460,90.0000,bottom
"C5","1uF","C_0603_1608Metric",143.4580,-116.0460,90.0000,bottom
"C6","100nF","C_0603_1608Metric",145.0580,-116.0460,90.0000,bottom
"C7","47nF","C_0603_1608Metric",155.1330,-123.4460,180.0000,bottom
"C8","1p8","C_0603_1608Metric",158.5100,-115.3160,0.0000,bottom
"C9","47pF","C_0603_1608Metric",155.1330,-121.7460,180.0000,bottom
"C10","2p4","C_0603_1608Metric",158.5100,-117.0460,180.0000,bottom
"C11","-","C_0603_1608Metric",157.7580,-120.4460,-90.0000,bottom
"C12","-","C_0603_1608Metric",161.5580,-116.1460,90.0000,bottom
"C13","3p3","C_0603_1608Metric",160.2580,-119.5460,180.0000,bottom
"C14","5p6","C_0603_1608Metric",162.7580,-122.1600,-90.0000,bottom
"C15","39pF","C_0603_1608Metric",163.7398,-119.5324,180.0000,bottom
"C16","2p2","C_0603_1608Metric",168.1480,-119.8880,-90.0000,bottom
"C17","39pF","C_0603_1608Metric",166.1046,-113.0300,180.0000,bottom
"C18","1nF","C_0603_1608Metric",160.7960,-112.1410,180.0000,bottom
"C19","3p3","C_0603_1608Metric",168.9496,-113.9300,90.0000,bottom
"C21","10uF","C_0805_2012Metric",143.0380,-110.0520,-90.0000,bottom
"C22","3p3","C_0603_1608Metric",172.7200,-113.7920,90.0000,bottom
"C24","10uF","C_0805_2012Metric",136.6520,-109.7915,90.0000,bottom
"C25","10uF","C_0805_2012Metric",145.2880,-108.6485,90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",148.1328,-108.2040,90.0000,bottom
"J1","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",139.5476,-116.4336,90.0000,bottom
"L1","15uH","L_0805_2012Metric",143.1580,-119.3800,90.0000,bottom
"L2","15nH","L_0402_1005Metric",155.9700,-116.1460,-90.0000,bottom
"L3","0R","L_0402_1005Metric",154.5580,-119.3460,0.0000,bottom
"L4","47nH","L_0402_1005Metric",156.2580,-119.8460,90.0000,bottom
"L5","2n5","L_0402_1005Metric",160.2580,-121.2460,0.0000,bottom
"L6","4n7","L_0402_1005Metric",166.2176,-119.3800,90.0000,bottom
"L7","9n1","L_0402_1005Metric",170.9496,-113.0300,0.0000,bottom
"R1","10k","R_0603_1608Metric",167.2335,-110.2360,0.0000,bottom
"R2","100R","R_0603_1608Metric",163.1695,-110.2360,180.0000,bottom
"U1","SX1262","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",149.8580,-117.6460,90.0000,bottom
"U2","MIC5504-3.3YM5","SOT-23-5",139.9380,-110.0520,180.0000,bottom
"U3","PE4259","SOT-363_SC-70-6",165.1000,-115.8860,90.0000,bottom
